"Номер заказа";"Дата приемки";"Плановая дата исполнения заказа";"Дата фактического исполнения заказа";"Общая стоимость работ без НДС";"Общая стоимость работ с НДС";"Код вида финансирования";"Код заказчика";"Код УНП заказчика";"Наименование заказчика";"Код ОКПО заказчика"
"534991";"2018-01-17";"";"2080-01-31";"38,19";"45,83";"";"7262";"УНП 800007034";"ООО ""ПРИРОДООХРАННЫЕ И ЭНЕРГОСБЕРЕГАЮЩИЕ ТЕХНОЛОГИИ""";"37541357"
"5311229";"2018-02-13";"";"2201-03-03";"105,8";"126,96";"";"2618";"УНП 400051757";"ОАО ""Гомсельмаш""";"05764311"
"5311443";"2018-02-14";"";"2080-02-28";"370,82";"444,98";"";"2533";"УНП 600154116";"РУП ""Слуцкий центр стандартизации, метрологии и сертификации""";"02569773"
"5316985";"2018-03-15";"";"2080-03-20";"302,49";"362,99";"";"2517";"УНП 200167576";"РУП ""Барановичский ЦСМС""";"02568383"
"5317459";"2018-03-16";"";"3018-03-30";"41,78";"50,14";"";"28207";"УНП 190982295";"Частное предприятие ""ДЭКОС-ПЛЮС""";"377875035000"
"5324911";"2018-04-19";"";"2108-05-25";"16,02";"19,23";"";"1436";"УНП 100083399";"ОАО ""ИСПЫТАНИЯ И СЕРТИФИКАЦИЯ БЫТОВОЙ И ПРОМЫШЛЕННОЙ ПРОДУКЦИИ ""БЕЛЛИС""";"14797657"
"5325144";"2018-04-19";"";"2108-05-25";"101,89";"122,25";"";"41377";"УНП 391071415";"Частное предприятие ""ЯВГ-сервис""";""
"5332003";"2018-05-21";"";"9201-06-25";"126,54";"151,84";"";"2241";"УНП 600066447";"Производственное республиканское унитарное предприятие ""Молодечненский завод порошковой металлургии""";"05893847"
"5338959";"2018-06-21";"";"2180-07-25";"164,62";"197,54";"";"2140";"УНП 600122531";"ОАО ""ЛМЗ Универсал""";"05750906"
"5339855";"2018-06-26";"";"2080-07-26";"126,27";"151,51";"";"2052";"УНП 600009233";"ОАО ""Борисовский завод ""Автогидроусилитель""";"00232153"
"5342096";"2018-07-09";"2020-05-30";"";"230,97";"277,16";"";"8508";"УНП 200073416";"КУМПП ЖКХ ""Ивановское ЖКХ""";"03368858"
"5353647";"2018-08-10";"";"8018-08-20";"3,55";"4,26";"";"53913";"УНП 190438613";"УП ""ИРПОЛ""";""
"5372935";"2018-10-31";"";"2501-11-15";"977,9";"1173,49";"";"2530";"УНП 700066535";"Бобруйский ЦСМС";"025688807000"
"5382504";"2018-12-14";"";"";"0";"0";"";"8321";"УНП 100135408";"РСФ Фрунзенского района  ОАО ""Минскремстрой""";""
"5382892";"2018-12-17";"";"2049-01-24";"134,08";"160,88";"";"34967";"УНП 690542961";"Инженерное частное унитарное предприятие ""ИНЖЕНЕР-СТРОИТЕЛЬ""";""
"5383062";"2018-12-18";"";"";"77,01";"92,41";"";"51913";"УНП 192641312";"ООО ""Итернал Групп""";"382834375000"
"534006";"2019-01-09";"";"2190-01-24";"83,06";"99,67";"";"16539";"УНП 100296916";"ГУО РИВШ";"02071926"
"5313590";"2019-02-19";"";"2060-03-05";"83,06";"99,67";"";"8003";"УНП 100056428";"КУП ""Минскхлебпром""";"05542510"
"5314729";"2019-02-25";"";"3019-03-15";"61,53";"73,84";"";"54977";"УНП 193178312";"ООО ""ЭкоТехЭнергоСервис ВК""";"502529595000"
"5314824";"2019-02-25";"";"3019-03-18";"104,79";"125,75";"";"50349";"УНП 192643249";"Частное предприятие ""Экотехцентр НПК""";"382839725000"
"5314826";"2019-02-25";"";"3019-03-11";"83,06";"99,67";"";"50349";"УНП 192643249";"Частное предприятие ""Экотехцентр НПК""";"382839725000"
"7225876";"2019-04-12";"";"";"0";"0";"";"2517";"УНП 200167576";"РУП ""Барановичский ЦСМС""";"02568383"
"7233868";"2019-05-23";"";"";"0";"0";"";"687";"УНП 100349860";"ОАО ""МИНСКИЙ ЗАВОД ИГРИСТЫХ ВИН""";"05896811"
"721";"2020-04-13";"2020-05-21";"";"245,13";"294,16";"";"2535";"УНП 200050122";"ОАО ""Брестлифт""";"05548079"
"722";"2020-04-22";"2020-06-03";"";"668,5";"802,2";"";"5591";"УНП 200566209";"КУПП ""Барановичи коммунтеплосеть""";"28882183"
"724";"2020-05-04";"2020-06-03";"";"134,1";"160,92";"";"432";"УНП 100236027";"УП ""Минскводоканал""";"03371271"
"725";"2020-05-04";"2020-06-03";"";"108,42";"130,1";"";"2535";"УНП 200050122";"ОАО ""Брестлифт""";"05548079"
"723";"2020-05-04";"";"";"118,9";"142,68";"";"666";"УНП 100079183";"РУП ""Институт почвоведения и агрохимии""";"00750921"
